a,1,,,,,,,,
able,1,,,,,,,,
about,1,,,,,,,,
above,1,,,,,,,,
according,1,,,,,,,,
across,1,,,,,,,,
act,1,,,,,,,,
action,1,,,,,,,,
actor,1,,,,,,,,
actress,1,,,,,,,,
add,1,,,,,,,,
address,1,,,,,,,,
adult,1,,,,,,,,
afraid,1,,,,,,,,
after,1,,,,,,,,
afternoon,1,,,,,,,,
again,1,,,,,,,,
against,1,,,,,,,,
age,1,,,,,,,,
ago,1,,,,,,,,
agree,1,,,,,,,,
agreement,1,,,,,,,,
ahead,1,,,,,,,,
air,1,,,,,,,,
airmail,1,,,,,,,,
airplane,1,,,,,,,,
airport,1,,,,,,,,
all,1,,,,,,,,
allow,1,,,,,,,,
almost,1,,,,,,,,
alone,1,,,,,,,,
along,1,,,,,,,,
already,1,,,,,,,,
also,1,,,,,,,,
always,1,,,,,,,,
am,1,,,,,,,,
among,1,,,,,,,,
and,1,,,,,,,,
anger,1,,,,,,,,
angry,1,,,,,,,,
animal,1,,,,,,,,
another,1,,,,,,,,
answer,1,,,,,,,,
ant,1,,,,,,,,
any,1,,,,,,,,
anything,1,,,,,,,,
ape,1,,,,,,,,
appear,1,,,,,,,,
apple,1,,,,,,,,
April,1,,,,,,,,
are,1,,,,,,,,
area,1,,,,,,,,
arm,1,,,,,,,,
army,1,,,,,,,,
around,1,,,,,,,,
art,1,,,,,,,,
as,1,,,,,,,,
ask,1,,,,,,,,
at,1,,,,,,,,
August,1,,,,,,,,
aunt,1,,,,,,,,
auntie,1,,,,,,,,
autumn,1,,,,,,,,
away,1,,,,,,,,
baby,1,,,,,,,,
back,1,,,,,,,,
bad,1,,,,,,,,
bag,1,,,,,,,,
ball,1,,,,,,,,
balloon,1,,,,,,,,
banana,1,,,,,,,,
band,1,,,,,,,,
bank,1,,,,,,,,
bar,1,,,,,,,,
barber,1,,,,,,,,
base,1,,,,,,,,
baseball,1,,,,,,,,
basic,1,,,,,,,,
basket,1,,,,,,,,
basketball,1,,,,,,,,
bat,1,,,,,,,,
bath,1,,,,,,,,
bathe,1,,,,,,,,
bathroom,1,,,,,,,,
be,1,,,,,,,,
beach,1,,,,,,,,
bear,1,,,,,,,,
beat,1,,,,,,,,
beautiful,1,,,,,,,,
beauty,1,,,,,,,,
because,1,,,,,,,,
become,1,,,,,,,,
bed,1,,,,,,,,
bee,1,,,,,,,,
before,1,,,,,,,,
begin,1,,,,,,,,
behind,1,,,,,,,,
believe,1,,,,,,,,
bell,1,,,,,,,,
belong,1,,,,,,,,
below,1,,,,,,,,
beside,1,,,,,,,,
best,1,,,,,,,,
better,1,,,,,,,,
between,1,,,,,,,,
bicycle,1,,,,,,,,
big,1,,,,,,,,
bike,1,,,,,,,,
bird,1,,,,,,,,
birth,1,,,,,,,,
bit,1,,,,,,,,
bite,1,,,,,,,,
black,1,,,,,,,,
block,1,,,,,,,,
blood,1,,,,,,,,
blow,1,,,,,,,,
blue,1,,,,,,,,
boat,1,,,,,,,,
body,1,,,,,,,,
bone,1,,,,,,,,
book,1,,,,,,,,
born,1,,,,,,,,
both,1,,,,,,,,
bottom,1,,,,,,,,
bowl,1,,,,,,,,
box,1,,,,,,,,
boy,1,,,,,,,,
brave,1,,,,,,,,
bread,1,,,,,,,,
break,1,,,,,,,,
breakfast,1,,,,,,,,
bridge,1,,,,,,,,
bright,1,,,,,,,,
bring,1,,,,,,,,
brother,1,,,,,,,,
brown,1,,,,,,,,
bug,1,,,,,,,,
build,1,,,,,,,,
building,1,,,,,,,,
bus,1,,,,,,,,
busy,1,,,,,,,,
but,1,,,,,,,,
butter,1,,,,,,,,
butterfly,1,,,,,,,,
buy,1,,,,,,,,
by,1,,,,,,,,
cage,1,,,,,,,,
cake,1,,,,,,,,
call,1,,,,,,,,
camel,1,,,,,,,,
camera,1,,,,,,,,
camp,1,,,,,,,,
can,1,,,,,,,,
candy,1,,,,,,,,
cap,1,,,,,,,,
car,1,,,,,,,,
card,1,,,,,,,,
care,1,,,,,,,,
careful,1,,,,,,,,
carry,1,,,,,,,,
case,1,,,,,,,,
cat,1,,,,,,,,
catch,1,,,,,,,,
cause,1,,,,,,,,
cent,1,,,,,,,,
center,1,,,,,,,,
certain,1,,,,,,,,
chair,1,,,,,,,,
chance,1,,,,,,,,
chart,1,,,,,,,,
chase,1,,,,,,,,
check,1,,,,,,,,
chick,1,,,,,,,,
chicken,1,,,,,,,,
chief,1,,,,,,,,
child,1,,,,,,,,
Christmas,1,,,,,,,,
church,1,,,,,,,,
cinema,1,,,,,,,,
city,1,,,,,,,,
class,1,,,,,,,,
clean,1,,,,,,,,
clear,1,,,,,,,,
climb,1,,,,,,,,
clock,1,,,,,,,,
close,1,,,,,,,,
cloud,1,,,,,,,,
coast,1,,,,,,,,
coat,1,,,,,,,,
cocoa,1,,,,,,,,
coffee,1,,,,,,,,
Coke,1,,,,,,,,
cola,1,,,,,,,,
cold,1,,,,,,,,
color,1,,,,,,,,
come,1,,,,,,,,
common,1,,,,,,,,
continue,1,,,,,,,,
cook,1,,,,,,,,
cookie,1,,,,,,,,
cool,1,,,,,,,,
corn,1,,,,,,,,
correct,1,,,,,,,,
cost,1,,,,,,,,
count,1,,,,,,,,
country,1,,,,,,,,
course,1,,,,,,,,
cover,1,,,,,,,,
cow,1,,,,,,,,
cowboy,1,,,,,,,,
crow,1,,,,,,,,
cry,1,,,,,,,,
cub,1,,,,,,,,
cup,1,,,,,,,,
cut,1,,,,,,,,
cute,1,,,,,,,,
daddy,1,,,,,,,,
dance,1,,,,,,,,
dancer,1,,,,,,,,
danger,1,,,,,,,,
dark,1,,,,,,,,
date,1,,,,,,,,
daughter,1,,,,,,,,
day,1,,,,,,,,
dead,1,,,,,,,,
deal,1,,,,,,,,
dear,1,,,,,,,,
death,1,,,,,,,,
December,1,,,,,,,,
decide,1,,,,,,,,
deep,1,,,,,,,,
deer,1,,,,,,,,
desk,1,,,,,,,,
die,1,,,,,,,,
different,1,,,,,,,,
difficult,1,,,,,,,,
dig,1,,,,,,,,
dinner,1,,,,,,,,
direct,1,,,,,,,,
dirty,1,,,,,,,,
discover,1,,,,,,,,
dish,1,,,,,,,,
do,1,,,,,,,,
doctor,1,,,,,,,,
dog,1,,,,,,,,
doll,1,,,,,,,,
dollar,1,,,,,,,,
door,1,,,,,,,,
dove,1,,,,,,,,
down,1,,,,,,,,
downstairs,1,,,,,,,,
dozen,1,,,,,,,,
draw,1,,,,,,,,
dream,1,,,,,,,,
drink,1,,,,,,,,
drive,1,,,,,,,,
driver,1,,,,,,,,
dry,1,,,,,,,,
duck,1,,,,,,,,
duckling,1,,,,,,,,
during,1,,,,,,,,
each,1,,,,,,,,
eagle,1,,,,,,,,
ear,1,,,,,,,,
early,1,,,,,,,,
earth,1,,,,,,,,
ease,1,,,,,,,,
east,1,,,,,,,,
easy,1,,,,,,,,
eat,1,,,,,,,,
edge,1,,,,,,,,
egg,1,,,,,,,,
eight,1,,,,,,,,
eighteen,1,,,,,,,,
eighty,1,,,,,,,,
either,1,,,,,,,,
elephant,1,,,,,,,,
eleven,1,,,,,,,,
else,1,,,,,,,,
end,1,,,,,,,,
English,1,,,,,,,,
enough,1,,,,,,,,
enter,1,,,,,,,,
equal,1,,,,,,,,
even,1,,,,,,,,
evening,1,,,,,,,,
ever,1,,,,,,,,
every,1,,,,,,,,
exam,1,,,,,,,,
examination,1,,,,,,,,
examine,1,,,,,,,,
example,1,,,,,,,,
except,1,,,,,,,,
eye,1,,,,,,,,
face,1,,,,,,,,
fact,1,,,,,,,,
factory,1,,,,,,,,
fall,1,,,,,,,,
family,1,,,,,,,,
fan,1,,,,,,,,
far,1,,,,,,,,
farm,1,,,,,,,,
farmer,1,,,,,,,,
fast,1,,,,,,,,
fat,1,,,,,,,,
father,1,,,,,,,,
fear,1,,,,,,,,
February,1,,,,,,,,
feed,1,,,,,,,,
feel,1,,,,,,,,
feeling,1,,,,,,,,
feelings,1,,,,,,,,
few,1,,,,,,,,
fifteen,1,,,,,,,,
fifty,1,,,,,,,,
fight,1,,,,,,,,
fill,1,,,,,,,,
film,1,,,,,,,,
final,1,,,,,,,,
find,1,,,,,,,,
fine,1,,,,,,,,
finger,1,,,,,,,,
finish,1,,,,,,,,
fire,1,,,,,,,,
first,1,,,,,,,,
fish,1,,,,,,,,
five,1,,,,,,,,
floor,1,,,,,,,,
flower,1,,,,,,,,
fly,1,,,,,,,,
fog,1,,,,,,,,
follow,1,,,,,,,,
food,1,,,,,,,,
foot,1,,,,,,,,
for,1,,,,,,,,
force,1,,,,,,,,
foreign,1,,,,,,,,
forest,1,,,,,,,,
forget,1,,,,,,,,
fork,1,,,,,,,,
forty,1,,,,,,,,
four,1,,,,,,,,
fourteen,1,,,,,,,,
free,1,,,,,,,,
fresh,1,,,,,,,,
Friday,1,,,,,,,,
friend,1,,,,,,,,
frog,1,,,,,,,,
from,1,,,,,,,,
front,1,,,,,,,,
fruit,1,,,,,,,,
full,1,,,,,,,,
fun,1,,,,,,,,
funny,1,,,,,,,,
game,1,,,,,,,,
garden,1,,,,,,,,
gas,1,,,,,,,,
general,1,,,,,,,,
get,1,,,,,,,,
